EVTDESCTRAYAR1;The training yard is the perfect place to improve your martial ability.;Le terrain d'exercice est le lieu idéal pour améliorer vos capacités martiales.;Der Übungsplatz ist der perfekte Ort, um Eure Kamfkünste zu verbessern.;;La palestra es el lugar idoneo para entrenar.;;;;;;;;;x
training_yard_yes_power;My upbringing has prepared me well for this. ;Mon éducation m'a préparé à cela.;Meine Erziehung hat mich gut darauf vorbereitet.;;Mi educación me ha preparado bien para esto.;;;;;;;;;x
training_yard_yes;I have other more pressing concerns, but a strong ruler must still learn to fight. ;J'ai des affaires plus urgentes, mais un dirigeant fort se doit toujours d'apprendre à combattre.;Ich habe dringendere Probleme, ich muss dennoch lernen, zu kämpfen.;;Tengo otras preocupaciones más apremiantes, pero un gobernante fuerte tiene que aprender a luchar.;;;;;;;;;x
training_yard_slothful;I have no interest in these follies.;Je n'ai aucun intérêt dans ces sottises;Ich habe kein Interesse an diesen Torheiten.;;No tengo ningún interés en estas locuras.;;;;;;;;;x
EVTDESCTRAYAR2;[Root.job_marshal.GetTitledFirstName] has requested your permission to use the training yard to improve his personal skills.;[Root.job_marshal.GetTitledFirstName] a requis votre permission pour utiliser le terrain d'exercice.;[Root.job_marshal.GetTitledFirstName] bat um Eure Erlaubnis den Übungsplatz nutzen zu dürfen um seine persönlichen Fähigkeiten zu verbessern.;;[Root.job_marshal.GetTitledFirstName] me ha solicitado permiso para utilizar la palestra para mejorar sus habilidades personales.;;;;;;;;;x
allow_training_yard;Of course!;Bien sûr !;Aber natürlich!;;¡Por supuesto!;;;;;;;;;x
dont_allow_training;[Root.job_marshal.GetTitledFirstName] has more important tasks to do!;[Root.job_marshal.GetTitledFirstName] a des choses plus importantes à faire !;[Root.job_marshal.GetTitledFirstName] hat wichtigere Aufgaben zu tun!;;¡[Root.job_marshal.GetTitledFirstName] tiene tareas más importantes que hacer!.;;;;;;;;;x

EVTDESCTRAYAR3;It has been a long and arduous endeavor, but your quest to become a great and deadly warrior has slowly rid you of your slothful tendencies! Time once spent idling in your chambers is now devoted to honing your skills in combat. ;Ce fut une tâche longue et difficile, mais votre désir de devenir un guerrier reconnu et craint vous a permi de vous affranchir de votre paresse. Le temps autrefois inexploité passé dans vos appartements est désormais dédié à l'amélioration de vos techniques de combat.;Es war ein langes und schwieriges Unterfangen, aber Euer Bestreben, ein mächtiger und tödlicher Krieger zu werden hat Euch langsam von Euren faulen Neigungen befreit! Die Zeit die Ihr einst nichtstuend in Euren Gemächern verbrachtet, ist nun der Verbesserung Eurer Kampftechniken gewidmet.;;Ha sido un largo y arduo esfuerzo, pero tu búsqueda para convertirte en un gran y mortal guerrero te ha librado poco a poco de tus tendencias perezosas.El tiempo que una vez pasaste en tus aposentos ahora lo dedicas a perfeccionar tus habilidades en combate.;;;;;;;;;x
ambition_removes_slothfulness;Nothing and no one can stand in my way. ;Rien ni personne ne peut m'arrêter.;Nichts und niemand kann mich aufhalten.;;Nada ni nadie puede interponerse en mi camino.;;;;;;;;;x
EVTDESCTRAYAR4;As you are sparring with a practice dummy, your mind wanders and you begin to picture the face of your enemy staring back at you. You strike out in rage and a single thrust of your sword drives the point straight through the dummy, cracking the wood and shattering it into pieces. ;Tandis que vous vous entraînez sur un mannequin d'exercice, le visage de votre ennemi s'impose à votre esprit et semble vous fixer. La fureur vous gagne et d'un seul coup d'épée, vous brisez le mannequin.;Sowie Ihr mit einer Übungspuppe sparrt, entgleitet Euer phantasievolles Gemüt und Ihr beginnt die Gestalt Eures Feindes, welcher tief in Eure Augen starrt, vor Euch zu sehen. Voller Zorn holt Ihr aus, um mit einem einzigen Streich Eures Schwertes die hölzerne Übungspuppe in zerberstende Stücke entzwei zu schmettern.;;A medida que combates con un maniquí de práctica, tu mente se distrae y te empiezas a imaginar la cara de tu enemigo que te mira fijamente. Te dejas llevar por la rabia y de un solo golpe de tu espada arrojas al muñeco al suelo , la madera se agrieta y se rompe en pedazos.;;;;;;;;;x
impaler_breaks_dummies;DIE, FILTH!;Meurs, ordure !;Verrecke, du Sohn einer Ratte!;;¡MUERE, perro!;;;;;;;;;x
impaler_or_cruel_trait;You have this option because you are §YCruel§! or an §YImpaler§!. ;Cette option est disponible car vous possédez la caractéristique §YCruel§! ou §YImpaler§!.;Ihr habt diese Option, da Ihr §YGrausam§! oder ein §YPfähler§! seid. ;;Tienes esta opción porque eres §YCruel§! o un §YEmpalador§!.;;;;;;;;;x
weak_decides_to_train_hard;What strength [Root.Religion.GetRandomGodName] has denied me I will seize for myself. ;Je me saisirai de la force qui m'a été refusée par [Root.Religion.GetRandomGodName].;Welch Stärke [Root.Religion.GetRandomGodName] mir auch verwehrt hat, ich werde sie aus eigener Kraft ergreifen.;;¿Qué fuerza me ha negado [Root.Religion.GetRandomGodName]? Voy a aprovecharla para mí.;;;;;;;;;x
EVTDESCTRAYAR5;My courtiers used to mock me for barely being to hold a shortsword, but now I could cleave a man in two with a single stroke, if I wished. Let those who laughed at my weakness now tremble at my strength! ;Mes courtisans se moquaient de ma difficulté à tenir une épée, mais je peux désormais fendre un homme en deux si je le souhaite. Que ceux qui riaient de ma faiblesse tremblent désromais devant ma force !;Meine Höflinge pflegten mich einst noch dafür zu verspotten, selbst ein Kurzschwert nur schwer halten zu können, aber nun könnte ich einen ausgewachsenen Mann mit nur einem Schlag entzwei spalten, wenn ich dies wollte. Mögen diejenigen, die über meiner Schwachheit lachten, nun vor meiner Kraft erzittern!;;Mis cortesanos no paran de burlarse de mí por ser apenas capaz de levantar una espada corta, pero ahora podrían escindir a un hombre en dos con un solo golpe, si me hubiera gustado. ¡Que los que se rieron de mi debilidad ahora tiemblen ante mi fuerza!.;;;;;;;;;x
weak_got_stronger;No man can ever dare to call me 'the Weak' any longer!;Désormais, personne n'osera me surnommer 'le faible'.;Niemand wird es mehr wagen mich 'der Schwache' zu nennen.;;Ningún hombre puede atreverse a llamarme 'el débil' por más tiempo!;;;;;;;;;x


EVTDESCTRAYAR7;"Your [GetFromRelation] was sparring with another child when suddenly, you hear the child scream out in pain repeatedly. You rush to the training yard to see the child lying in a small pool of blood and immediately send for a physician. Your [GetFromRelation] seems unaffected by the scene and simply says to you: ""He deserved it. He insulted me."" ";[From.GetFirstName] s'exerce au combat avec un autre enfant quand tout à coup, vous entendez l'enfant hurler continuellement de douleur. Vous vous précipitez au terrain d'exercice pour voir l'enfant affalé dans une petite mare de sang, puis emmené voir un médecin. Votre [GetFromRelation] ne semble que peu affecté par l'incident, et vous explique :'Il le méritait. Il m'a insulté !'.;Auf dem Übungsplatz sparrt [From.GetFirstName] mit einem anderen Kind, als Ihr plötzlich hört, wie das Kind wiederholt vor Schmerz zu schreien beginnt. Sowie Ihr zum Übungsplatz eilt und seht, wie das Kind in einer kleinen Blutlache liegt, schickt Ihr augenblicklich nach einem Arzt. Euer [GetFromRelation] scheint von dem Vorfall völlig unberührt und sagt Euch nur: 'Er hat es verdient, er hat mich beleidigt!'.;;"Tu [GetFromRelation] se peleaba con otro niño cuando, de repente, se oye al niño gritar de dolor en varias ocasiones. Se precipita al patio de entrenamiento para ver al niño acostado en un pequeño charco de sangre y envias inmediatamente por un médico. Tu [GetFromRelation] parece no estar afectado por la escena y simplemente te dice: ""Se lo merecía Él me insultó.."".";;;;;;;;;x
encourage_cruel_ward;Might makes right. Let no one impugn your honor.;La force est le pouvoir. Ne permettez à personne de porter atteinte à votre honneur.;Macht geht vor Recht. Lass niemals zu, dass jemand deine Ehre anfechtet.;;El poder hace el derecho. Que nadie impugne su honor.;;;;;;;;;x
ward_stays_cruel;your ward earns a reputation for being ruthless ;Désormais, votre pupille est réputée pour être impitoyable.;Euer Mündel verdient den Ruf, rücksichtslos zu sein.;;Tu guardia te ha ganado la reputación de ser despiadado.;;;;;;;;;x
punish_cruel_ward;You too will get exactly what you deserve, you impudent whelp!;Vous aussi allez obtenir exactement ce que vous méritez, morveux !;Auch dir wird genau das widerfahren, was du verdienst, Bengel!;;También tu recibirás exactamente lo que te mereces,¡niño insolente!.;;;;;;;;;x
talk_to_cruel_ward;You must learn to live kindly lest [Root.Religion.GetRandomGodName] punish you for your cruelty.;Vous devriez chercher le salut dans l'humilité, ou [Root.Religion.GetRandomGodName] vous punira pour votre cruauté.;Du musst dich in Sanftmut üben. [Root.Religion.GetRandomGodName] hasst den Zorn!;;Debes aprender a vivir amablemente no sea que [Root.Religion.GetRandomGodName] pueda castigarte por tu crueldad.;;;;;;;;;x
EVTDESCTRAYAR12;Fifteen lashes later, your [GetFromRelation] vows between sobs that [From.GetSheHe] will never inflict such harm on another person again.;Après quinze coups de fouet, votre [GetFromRelation] jure entre deux sanglots qu'[From.GetSheHe] n'infligera plus jamais un tel préjudice à autrui.;Fünfzehn Peitschenhiebe später schwört [From.GetFirstName] schluchzend, keiner Person jemals wieder solchen Schaden zuzufügen. ;;Quince latigazos más tarde, tu [GetFromRelation] te dice que [From.GetSheHe] ha prometido entre sollozos que nunca va a infligir tal daño a otra persona de nuevo.;;;;;;;;;x
trayar12option;Very good. ;Très bien.;Sehr gut.;;Muy bien;;;;;;;;;x
EVTDESCTRAYAR13;No amount of lashes could break [From.GetFirstName]'s will. [From.GetSheHe] seems unrepentant and refuses to admit [From.GetSheHe] was ever unjustified in wounding the child.;La volonté de [From.GetFirstName] ne se brise pas, quelque soit le nombre de coups de fouet. [From.GetSheHe] semblent impénitent et refuse d'admettre qu'il n'y avait aucune justification à blesser l'enfant.;Auch noch so viele Peitschenhiebe können den Willen [From.GetFirstName]'s nicht brechen. [From.GetSheHe] scheint ohne Reue zu sein und weigert sich zuzugeben, dass es nicht gerechtfertigt war, dass Kind so zu verletzen.;;Ninguna cantidad de latigazos podría romper la voluntad de [From.GetFirstName]. [From.GetSheHe] no parece arrepentido y se niega a admitir que [From.GetSheHe] fue injustificado herir al niño.;;;;;;;;;x
trayar13option;Why, you... ;Pourquoi...;Warum willst du nicht gehorchen …;;POr que.. TU...;;;;;;;;;x
EVTDESCTRAYAR14;Your lectures on the value of kindness seem to actually have had an effect on young [From.GetFirstName]. [From.GetSheHe] can now be seen around the castle looking to aid anyone in need.;Votre sermon sur la valeur de la bonté semble avoir fait son chemin dans la tête de [From.GetFirstName]. [From.GetSheHe] est maintenant vu aux alentours du châteaux cherchant toute personne dans le besoin.;Euer Vortrag über den hohen Wert der Freundlichkeit scheint tatsächlich einen positiven Einfluss auf [From.GetFirstName] gehabt zu haben, [From.GetSheHe] ist nun des öfteren dabei zu beobachten, wie [From.GetSheHe] versucht, anderen Menschen zu helfen.;;Tus conferencias sobre el valor de la bondad parecen realmente haber tenido un efecto en el joven [From.GetFirstName]. [From.GetSheHe] ahora se puede ver por el castillo en busca de ayudar a cualquier persona en necesidad.;;;;;;;;;x
trayar14option;Very good. ;Très bien.;Ausgezeichnet.;;Muy bien;;;;;;;;;x
EVTDESCTRAYAR15;Your fiery lectures have terrified your ward in believing that the wrath of [Root.Religion.GetRandomGodName] will fall upon [From.GetHerHim]. [From.GetSheHe] now spends hours in prayer and refuses to even touch a sword.;Votre sermon enflammé a terrifié votre pupille. Il croit que la colère de [Root.Religion.GetRandomGodName] va tomber sur [From.GetHerHim]. [From.GetSheHe] passe maintenant des heures entières à prier et refuse même de toucher une épée.;Eure feurigen Vorträge haben Eurem Mündel die Furcht gelehrt, der Zorn von [Root.Religion.GetRandomGodName] könne auf [From.GetHerHim] niederfallen.;;Sus conferencias de fuego han aterrorizado a su pupilo en la creencia de que la ira de [Root.Religion.GetRandomGodName] caerá sobre [From.GetHerHim]. [From.GetSheHe] ahora pasa horas en oración y se niega a siquiera tocar una espada.;;;;;;;;;x
trayar15option;This was not what I had intended.;Ce n'est pas ce que je voulais.;Das ist nicht, was ich damit beabsichtigt hatte.;;Esto no era lo que yo había previsto.;;;;;;;;;x
improve_martial_education;Seek a Tutor;Chercher un tuteur;Suche einen Lehrer;;Buscar un tutor.;;;;;;;;;x
improve_martial_education_desc;Your inadequate education in the martial arts could be remedied if you could find someone willing to teach you.;Votre maladresse dans les arts martiaux fait de vous la risée de la cour. Vous pourriez y rémédier si quelqu'un est prêt à vous enseigner.;Eurer unzureichenden Ausbildung in des Künsten des Kampfes könnte abgeholfen werden, wenn Ihr jemanden finden könntet, der bereit wäre, Euch auszubilden.;;Su falta de educación en las artes dela guerra podría remediarse si se pudiera encontrar a alguien dispuesto a enseñarle.;;;;;;;;;x
martial_ed_improve_tooltip;My marshal has volunteered to take me under his tutelage.;Mon maréchal s'est porté volontaire pour me prendre sous tutelle.;Mein Marshall hat zugestimmt, mich in Kampftechniken zu unterrichten.;;Mi mariscal se ha ofrecido a llevarme bajo su tutela.;;;;;;;;;x
improve_theological_education;Seek a Tutor;Chercher un tuteur;Suche einen Lehrer;;Buscar un tutor.;;;;;;;;;x
improve_theological_education_desc;Your inadequate knowledge of theology could be remedied if you could find someone willing to teach you.;Vos questions et votre ignorance sur les questions théologiques sont consternantes. Si seulement quelqu'un était prêt à vous enseigner sur le sujet.;Eurem unzureichendem Wissensstand in den Bereichen der Theologie könnte abgeholfen werden, wenn Ihr jemanden finden könntet, der bereit wäre, Euch zu unterrichten.;;Su conocimiento inadecuado de la teología podría remediarse si se pudiera encontrar a alguien dispuesto a enseñarle.;;;;;;;;;x
theological_ed_improve_tooltip;My court minister has volunteered to take me under his tutelage.;Mon conseiller spirituel s'est porté volontaire pour me prendre sous tutelle.;Der Geistliche meines Hofes hat zugestimmt, mich zu unterrichten.;;Mi ministro de la corte se ha ofrecido a llevarme bajo su tutela.;;;;;;;;;x
EVTDESCTRAYAR17;After bleeding your treasury dry on new equipment for the training yard, [From.GetFirstName] begins the long and arduous process of teaching you the basics of combat. You struggle to keep up with the manuevers and technique, but [From.GetFirstName] shows you no mercy.;Après avoir saigné le trésor pour les nouveaux équipements du terrain d'exercice, [From.GetFirstName] entame votre enseignement long et difficile des rudiments du combat. Vous avez du mal à suivre les mouvements et les techniques, mais [From.GetFirstName] reste impitoyable.;Nachdem Ihr, durch den Kauf neuer Ausrüstung für den Übungsplatz, wieder freien Raum in Eurer Schatzkammer geschaffen habt, beginnt [From.GetFirstName] damit, Euch in langen und mühseligen Lehrstunden, die Grundlagen des Kampfes beizubringen.;;Después de sangrar la tesorería en nuevos equipos para la palestra, [From.GetFirstName] comienza el largo y arduo proceso de enseñanza de los conceptos básicos de combate. Luchas para mantenerte al día con las maniobras y técnicas, pero [From.GetFirstName] no tiene piedad.;;;;;;;;;x
martial_improve_start_option;Step right and parry...;Un pas à droite, puis parer...;Einen Schritt nach rechts, dann parieren …;;Paso a la derecha y parar ...;;;;;;;;;x
EVTDESCTRAYAR19;After months of training and strict discipline, your courtiers no longer mock your incompetence in the martial arts. As a warrior, you are feared by your enemies, and as a [Root.GetTitle], you are respected by your subjects. ;Après des mois de formation et de discipline stricte, vos courtisans ne se moquent plus de votre incompétence dans les arts martiaux. En tant que guerrier, vous êtes craint par vos ennemis, et en tant que [Root.GetTitle], vous êtes respecté par vos sujets.;Nach Monaten der Ausbildung und strenger Disziplin, verspotten Eure Höflinge nun nicht mehr Eure Unfähigkeit in den Kampfkünsten. Als Krieger, seid Ihr bei Euren Feinden gefürchtet, und als [Root.GetTitle] seid Ihr bei Euren Untertanen hoch angesehen.;;Después de meses de entrenamiento y una estricta disciplina, los cortesanos ya no se burlan de tu incompetencia en las artes de la guerra. Como un guerrero, se le teme por sus enemigos, y como un [Root.GetTitle],es respetado por sus súbditos.;;;;;;;;;x
martial_improve_ends_option;They will call me the Soldier-[Root.GetTitle]!;Ils m'appelleront le [Root.GetTitle]-guerrier.;Sie werden mich den '[Root.GetTitle] der Krieger' nennen!;;Ellos me van a llamar el soldado-[Root.GetTitle]!;;;;;;;;;x
EVTDESCCHAPER12;After bleeding your treasury dry on tomes and volumes written by the colossi of the faith, [From.GetFirstName] begins to mentor you through an exhaustive study of every facet of theology. Your head is spinning, but [From.GetFirstName] is relentless and does not allow you to rest your eyes. ;Après avoir saigné votre trésorerie pour l'achat de grimoires ou de volumes écrits par les grands noms de la foi, [From.GetFirstName] commence à encadrer votre enseignement à travers l'étude exhaustive de tous les aspects de la théologie. Votre tête tourne, mais [From.GetFirstName] est implacable, et ne permet pas à vos yeux le moindre repos.;Nachdem Ihr, durch den Kauf von Folianten und Büchern, die von wahren Glaubensgrößen verfasst wurden, wieder Platz in Eurer Schatzkammer geschaffen habt, beginnt [From.GetFirstName] damit, Euch bei den erschöpfenden Studien über die umfassenden Aspekte der Theologie zu betreuen. Euch brummt der Schädel, aber [From.GetFirstName] ist unerbittlich, und erlaubt Euren Augen keine Rast.;;Después de sangrar la tesorería en tomos y volúmenes escritos por los colosos de la fe, [From.GetFirstName] comienza a guiarte através de un estudio exhaustivo de todos los aspectos de la teología. Tu cabeza da vueltas, pero [From.GetFirstName] es implacable y no te permite descansar los ojos.;;;;;;;;;x
theological_improve_start_option;I know not what I know not.;Je ne connais pas ce que je ne connais pas.;Ich weiß nicht, was ich nicht weiß.;;Sé que no es lo que yo no sé.;;;;;;;;;x
EVTDESCCHAPER14;After months of study and quiet contemplation, you have come to understand the faith a little more. Though no theological mastermind, your subjects now respect you as a leader truly devoted to understanding the will of [Root.Religion.GetRandomGodName].;Après des mois d'étude et de contemplation silencieuse, vous en êtes venu à comprendre un peu plus votre foi. Bien que vous ne soyez pas une pointure, vos sujets vous respectent désormais comme un véritable meneur dévoué à comprendre la volonté de [Root.Religion.GetRandomGodName].;Nach Monaten des Studiums und der inneren Einkehr, habt Ihr es geschafft, den Glauben ein wenig mehr zu begreifen. Obwohl Ihr sicher kein großer Vordenker geworden seid, respektieren Euch Eure Untertanen als Herrscher, der sich wahrlich dafür hingibt den Willen von [Root.Religion.GetRandomGodName] zu verstehen.;;Después de meses de estudio y la contemplación tranquila, usted ha llegado a comprender la fe un poco más. Aunque no eres ningún autor intelectual teologico, los demas ahora te respetan como líder verdaderamente dedicado a la comprensión de la voluntad de [Root.Religion.GetRandomGodName].;;;;;;;;;x
theological_improve_ends_option;I know now what I know not.;Je ne connais pas ce que je ne connais pas.;Ich weiß nun, was ich nicht weiß.;;Sé que no es lo que yo no sé.;;;;;;;;;x
EVTDESCCHAPER15;Due to recent events, your tutor can no longer continue guiding you through the theological labyrinth. Although you have learned much, there is much more that you cannot understand without further guidance. Your studies have been terminated for the time being. ;Au vu des récents événements, votre tuteur ne peut plus continuer à vous guider à travers le labyrinthe théologique. Bien que vous ayez beaucoup appris, il y a bien plus encore que vous ne pouvez comprendre sans autres conseils. Vos études ont pris fin pour le moment.;Aus aktuellem Anlass kann Euer Lehrer Euch nicht mehr weiter durch das Labyrinth der Theologie führen. Obwohl Ihr einiges gelernt habt, gibt es doch viel mehr, dass Ihr nicht ohne weitere Anleitung zu verstehen vermögt. Eure Studien sind vorerst beendet.;;Debido a los recientes acontecimientos, tu tutor ya no puede continuar guiandote a través del laberinto teológico. A pesar de que has aprendido mucho, hay mucho más que no se puede entender sin mayor orientación. Tus estudios se han terminado por el momento.;;;;;;;;;x
theological_improve_ends_abruptly_option;I submit to the will of [Root.Religion.GetRandomGodName]. ;Je me soumets à la volonté de [Root.Religion.GetRandomGodName].;Ich unterwerfe mich dem Willen von [Root.Religion.GetRandomGodName].;;Me someto a la voluntad de [Root.Religion.GetRandomGodName].;;;;;;;;;x
